CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0101.L.BM03;PUERTA PA MONT CORRE LACA BLANCO MAT 9003 + VIDRIO TRANSPAR;CORRE;TRANSPAR;LACA BLANCO MAT 9003
PAV.0101.L.NMT;PUERTA PA MONT CORRE LACA NEGRO MATE TEXT + VIDRIO TRANSPAR;CORRE;TRANSPAR;LACA NEGRO MATE TEXT
PAV.0101.L.C;PUERTA PA MONT CORRE LACADO CORTEN + VIDRIO TRANSPAR;CORRE;TRANSPAR;LACADO CORTEN
PAV.0101.C.RB;PUERTA PA MONT CORRE CHAPA ROBLE + VIDRIO TRANSPAR;CORRE;TRANSPAR;CHAPA ROBLE
PAV.0101.C.NG;PUERTA PA MONT CORRE CHAPA NOGAL + VIDRIO TRANSPAR;CORRE;TRANSPAR;CHAPA NOGAL
PAV.0102.L.BM03;PUERTA PA MONT CORRE LACA BLANCO MAT 9003 + VIDRIO MATE ;CORRE;MATE ;LACA BLANCO MAT 9003
PAV.0102.L.NMT;PUERTA PA MONT CORRE LACA NEGRO MATE TEXT + VIDRIO MATE ;CORRE;MATE ;LACA NEGRO MATE TEXT
PAV.0102.L.C;PUERTA PA MONT CORRE LACADO CORTEN + VIDRIO MATE ;CORRE;MATE ;LACADO CORTEN
PAV.0102.C.RB;PUERTA PA MONT CORRE CHAPA ROBLE + VIDRIO MATE ;CORRE;MATE ;CHAPA ROBLE
PAV.0102.C.NG;PUERTA PA MONT CORRE CHAPA NOGAL + VIDRIO MATE ;CORRE;MATE ;CHAPA NOGAL
PAV.0103.L.BM03;PUERTA PA MONT CORRE LACA BLANCO MAT 9003 + VIDRIO BRONCE;CORRE;BRONCE;LACA BLANCO MAT 9003
PAV.0103.L.NMT;PUERTA PA MONT CORRE LACA NEGRO MATE TEXT + VIDRIO BRONCE;CORRE;BRONCE;LACA NEGRO MATE TEXT
PAV.0103.L.C;PUERTA PA MONT CORRE LACADO CORTEN + VIDRIO BRONCE;CORRE;BRONCE;LACADO CORTEN
PAV.0103.C.RB;PUERTA PA MONT CORRE CHAPA ROBLE + VIDRIO BRONCE;CORRE;BRONCE;CHAPA ROBLE
PAV.0103.C.NG;PUERTA PA MONT CORRE CHAPA NOGAL + VIDRIO BRONCE;CORRE;BRONCE;CHAPA NOGAL
PAV.0104.L.BM03;PUERTA PA MONT CORRE LACA BLANCO MAT 9003 + VIDRIO GRIS;CORRE;GRIS;LACA BLANCO MAT 9003
PAV.0104.L.NMT;PUERTA PA MONT CORRE LACA NEGRO MATE TEXT + VIDRIO GRIS;CORRE;GRIS;LACA NEGRO MATE TEXT
PAV.0104.L.C;PUERTA PA MONT CORRE LACADO CORTEN + VIDRIO GRIS;CORRE;GRIS;LACADO CORTEN
PAV.0104.C.RB;PUERTA PA MONT CORRE CHAPA ROBLE + VIDRIO GRIS;CORRE;GRIS;CHAPA ROBLE
PAV.0104.C.NG;PUERTA PA MONT CORRE CHAPA NOGAL + VIDRIO GRIS;CORRE;GRIS;CHAPA NOGAL
PAV.0105.L.BM03;PUERTA PA MONT CORRE LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO;CORRE;GRIS OSCURO;LACA BLANCO MAT 9003
PAV.0105.L.NMT;PUERTA PA MONT CORRE LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO;CORRE;GRIS OSCURO;LACA NEGRO MATE TEXT
PAV.0105.L.C;PUERTA PA MONT CORRE LACADO CORTEN + VIDRIO GRIS OSCURO;CORRE;GRIS OSCURO;LACADO CORTEN
PAV.0105.C.RB;PUERTA PA MONT CORRE CHAPA ROBLE + VIDRIO GRIS OSCURO;CORRE;GRIS OSCURO;CHAPA ROBLE
PAV.0105.C.NG;PUERTA PA MONT CORRE CHAPA NOGAL + VIDRIO GRIS OSCURO;CORRE;GRIS OSCURO;CHAPA NOGAL
;;;;
PAV.0201.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO TRANSPAR;FIJO;TRANSPAR;LACA BLANCO MAT 9003
PAV.0201.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO TRANSPAR;FIJO;TRANSPAR;LACA NEGRO MATE TEXT
PAV.0201.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO TRANSPAR;FIJO;TRANSPAR;LACADO CORTEN
PAV.0201.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO TRANSPAR;FIJO;TRANSPAR;CHAPA ROBLE
PAV.0201.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO TRANSPAR;FIJO;TRANSPAR;CHAPA NOGAL
PAV.0202.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO MATE ;FIJO;MATE ;LACA BLANCO MAT 9003
PAV.0202.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO MATE ;FIJO;MATE ;LACA NEGRO MATE TEXT
PAV.0202.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO MATE ;FIJO;MATE ;LACADO CORTEN
PAV.0202.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO MATE ;FIJO;MATE ;CHAPA ROBLE
PAV.0202.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO MATE ;FIJO;MATE ;CHAPA NOGAL
PAV.0203.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO BRONCE;FIJO;BRONCE;LACA BLANCO MAT 9003
PAV.0203.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO BRONCE;FIJO;BRONCE;LACA NEGRO MATE TEXT
PAV.0203.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO BRONCE;FIJO;BRONCE;LACADO CORTEN
PAV.0203.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO BRONCE;FIJO;BRONCE;CHAPA ROBLE
PAV.0203.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO BRONCE;FIJO;BRONCE;CHAPA NOGAL
PAV.0204.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO GRIS;FIJO;GRIS;LACA BLANCO MAT 9003
PAV.0204.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO GRIS;FIJO;GRIS;LACA NEGRO MATE TEXT
PAV.0204.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO GRIS;FIJO;GRIS;LACADO CORTEN
PAV.0204.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO GRIS;FIJO;GRIS;CHAPA ROBLE
PAV.0204.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO GRIS;FIJO;GRIS;CHAPA NOGAL
PAV.0205.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO;FIJO;GRIS OSCURO;LACA BLANCO MAT 9003
PAV.0205.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO;FIJO;GRIS OSCURO;LACA NEGRO MATE TEXT
PAV.0205.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO GRIS OSCURO;FIJO;GRIS OSCURO;LACADO CORTEN
PAV.0205.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO GRIS OSCURO;FIJO;GRIS OSCURO;CHAPA ROBLE
PAV.0205.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO GRIS OSCURO;FIJO;GRIS OSCURO;CHAPA NOGAL
;;;;
PAV.0301.L.BM03;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACA BLANCO MAT 9003;BASTIDOR 3;;LACA BLANCO MAT 9003
PAV.0301.L.NMT;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACA NEGRO MATE TEXT;BASTIDOR 3;;LACA NEGRO MATE TEXT
PAV.0301.L.C;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACADO CORTEN;BASTIDOR 3;;LACADO CORTEN
PAV.0301.C.RB;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA CHAPA ROBLE;BASTIDOR 3;;CHAPA ROBLE
PAV.0301.C.NG;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA CHAPA NOGAL;BASTIDOR 3;;CHAPA NOGAL
;;;;
PAV.0302.L.BM03;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA BLANCO MAT 9003;BASTIDOR 3 -U-;;LACA BLANCO MAT 9003
PAV.0302.L.NMT;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA NEGRO MATE TEXT;BASTIDOR 3 -U-;;LACA NEGRO MATE TEXT
PAV.0302.L.C;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACADO CORTEN;BASTIDOR 3 -U-;;LACADO CORTEN
PAV.0302.C.RB;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA ROBLE;BASTIDOR 3 -U-;;CHAPA ROBLE
PAV.0302.C.NG;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA NOGAL;BASTIDOR 3 -U-;;CHAPA NOGAL
;;;;
PAV.0401.L.BM03;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA BLANCO MAT 9003;BASTIDOR 4;;LACA BLANCO MAT 9003
PAV.0401.L.NMT;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA NEGRO MATE TEXT;BASTIDOR 4;;LACA NEGRO MATE TEXT
