TIPO;Altura;COLOR;Ancho;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
CORREDERA;2700;NEGRO MATE TEXT;600;451,365;583,552;488,501;488,501;583,552
CORREDERA;2700;NEGRO MATE TEXT;700;467,079;621,296;510,404;510,404;621,296
CORREDERA;2700;NEGRO MATE TEXT;800;482,793;659,041;532,307;532,307;659,041
CORREDERA;2700;NEGRO MATE TEXT;900;510,858;709,138;566,562;566,562;709,138
CORREDERA;2700;NEGRO MATE TEXT;1000;526,572;746,883;588,465;588,465;746,883
CORREDERA;2700;NEGRO MATE TEXT;1100;553,423;795,766;621,506;621,506;795,766
CORREDERA;2700;NEGRO MATE TEXT;1200;569,137;833,510;643,409;643,409;833,510
CORREDERA;2700;NEGRO MATE TEXT;1300;606,211;892,616;686,672;686,672;892,616
CORREDERA;2700;NEGRO MATE TEXT;1400;621,925;930,361;708,575;708,575;930,361
CORREDERA;2700;NEGRO MATE TEXT;1500;634,449;964,916;727,289;727,289;964,916
CORREDERA;2500;NEGRO MATE TEXT;600;425,477;536,627;456,157;456,157;536,627
CORREDERA;2500;NEGRO MATE TEXT;700;439,317;568,992;475,111;475,111;568,992
CORREDERA;2500;NEGRO MATE TEXT;800;453,158;601,358;494,065;494,065;601,358
CORREDERA;2500;NEGRO MATE TEXT;900;479,350;646,075;525,370;525,370;646,075
CORREDERA;2500;NEGRO MATE TEXT;1000;493,191;678,441;544,324;544,324;678,441
CORREDERA;2500;NEGRO MATE TEXT;1100;538,203;762,594;601,242;601,242;762,594
CORREDERA;2500;NEGRO MATE TEXT;1200;553,056;797,846;621,826;621,826;797,846
CORREDERA;2500;NEGRO MATE TEXT;1300;589,270;854,459;663,770;663,770;854,459
CORREDERA;2500;NEGRO MATE TEXT;1400;604,123;889,711;684,354;684,354;889,711
CORREDERA;2500;NEGRO MATE TEXT;1500;615,914;921,902;701,877;701,877;921,902
CORREDERA;2700;BLANCO MATE;600;451,365;583,552;488,501;488,501;583,552
CORREDERA;2700;BLANCO MATE;700;467,079;621,296;510,404;510,404;621,296
CORREDERA;2700;BLANCO MATE;800;482,793;659,041;532,307;532,307;659,041
CORREDERA;2700;BLANCO MATE;900;510,858;709,138;566,562;566,562;709,138
CORREDERA;2700;BLANCO MATE;1000;526,572;746,883;588,465;588,465;746,883
CORREDERA;2700;BLANCO MATE;1100;553,423;795,766;621,506;621,506;795,766
CORREDERA;2700;BLANCO MATE;1200;569,137;833,510;643,409;643,409;833,510
CORREDERA;2700;BLANCO MATE;1300;606,211;892,616;686,672;686,672;892,616
CORREDERA;2700;BLANCO MATE;1400;621,925;930,361;708,575;708,575;930,361
CORREDERA;2700;BLANCO MATE;1500;634,449;964,916;727,289;727,289;964,916
CORREDERA;2500;BLANCO MATE;600;425,477;536,627;456,157;456,157;536,627
CORREDERA;2500;BLANCO MATE;700;439,317;568,992;475,111;475,111;568,992
CORREDERA;2500;BLANCO MATE;800;453,158;601,358;494,065;494,065;601,358
CORREDERA;2500;BLANCO MATE;900;479,350;646,075;525,370;525,370;646,075
CORREDERA;2500;BLANCO MATE;1000;493,191;678,441;544,324;544,324;678,441
CORREDERA;2500;BLANCO MATE;1100;538,203;762,594;601,242;601,242;762,594
CORREDERA;2500;BLANCO MATE;1200;553,056;797,846;621,826;621,826;797,846
CORREDERA;2500;BLANCO MATE;1300;589,270;854,459;663,770;663,770;854,459
CORREDERA;2500;BLANCO MATE;1400;604,123;889,711;684,354;684,354;889,711
CORREDERA;2500;BLANCO MATE;1500;615,914;921,902;701,877;701,877;921,902
CORREDERA;2700;CORTEN;600;451,365;583,552;488,501;488,501;583,552
CORREDERA;2700;CORTEN;700;467,079;621,296;510,404;510,404;621,296
CORREDERA;2700;CORTEN;800;482,793;659,041;532,307;532,307;659,041
CORREDERA;2700;CORTEN;900;510,858;709,138;566,562;566,562;709,138
CORREDERA;2700;CORTEN;1000;526,572;746,883;588,465;588,465;746,883
CORREDERA;2700;CORTEN;1100;553,423;795,766;621,506;621,506;795,766
CORREDERA;2700;CORTEN;1200;569,137;833,510;643,409;643,409;833,510
CORREDERA;2700;CORTEN;1300;606,211;892,616;686,672;686,672;892,616
CORREDERA;2700;CORTEN;1400;621,925;930,361;708,575;708,575;930,361
CORREDERA;2700;CORTEN;1500;634,449;964,916;727,289;727,289;964,916
CORREDERA;2500;CORTEN;600;425,477;536,627;456,157;456,157;536,627
CORREDERA;2500;CORTEN;700;439,317;568,992;475,111;475,111;568,992
CORREDERA;2500;CORTEN;800;453,158;601,358;494,065;494,065;601,358
CORREDERA;2500;CORTEN;900;479,350;646,075;525,370;525,370;646,075
CORREDERA;2500;CORTEN;1000;493,191;678,441;544,324;544,324;678,441
CORREDERA;2500;CORTEN;1100;538,203;762,594;601,242;601,242;762,594
CORREDERA;2500;CORTEN;1200;553,056;797,846;621,826;621,826;797,846
CORREDERA;2500;CORTEN;1300;589,270;854,459;663,770;663,770;854,459
CORREDERA;2500;CORTEN;1400;604,123;889,711;684,354;684,354;889,711
CORREDERA;2500;CORTEN;1500;615,914;921,902;701,877;701,877;921,902
CORREDERA;2700;ROBLE;600;503,144;635,331;540,280;581,000;635,331
CORREDERA;2700;ROBLE;700;518,956;673,174;562,282;664,000;673,174
CORREDERA;2700;ROBLE;800;534,769;711,018;584,283;863,000;711,018
CORREDERA;2700;ROBLE;900;562,933;761,213;618,637;482,000;761,213
CORREDERA;2700;ROBLE;1000;578,746;799,057;640,639;222,000;799,057
CORREDERA;2700;ROBLE;1100;605,696;848,038;673,778;772,000;848,038
CORREDERA;2700;ROBLE;1200;621,508;885,881;695,780;773,000;885,881
CORREDERA;2700;ROBLE;1300;658,681;945,085;739,142;493,000;945,085
CORREDERA;2700;ROBLE;1400;674,493;982,929;761,144;508,000;982,929
CORREDERA;2700;ROBLE;1500;686,855;1.017,322;779,695;843,000;1.017,322
CORREDERA;2500;ROBLE;600;483,892;595,042;514,572;514,572;595,042
CORREDERA;2500;ROBLE;700;498,129;627,804;533,923;533,923;627,804
CORREDERA;2500;ROBLE;800;512,367;660,567;553,273;553,273;660,567
CORREDERA;2500;ROBLE;900;538,956;705,681;584,976;584,976;705,681
CORREDERA;2500;ROBLE;1000;553,193;738,443;604,327;604,327;738,443
CORREDERA;2500;ROBLE;1100;598,602;822,993;661,641;661,641;822,993
CORREDERA;2500;ROBLE;1200;613,852;858,642;682,622;682,622;858,642
CORREDERA;2500;ROBLE;1300;650,463;915,652;724,963;724,963;915,652
CORREDERA;2500;ROBLE;1400;665,713;951,301;745,944;745,944;951,301
CORREDERA;2500;ROBLE;1500;680,963;986,950;766,925;766,925;986,95
CORREDERA;2700;NOGAL;600;508,595;640,781;545,730;545,730;640,781
CORREDERA;2700;NOGAL;700;524,601;678,819;567,926;567,926;678,819
CORREDERA;2700;NOGAL;800;540,608;716,857;590,122;590,122;716,857
CORREDERA;2700;NOGAL;900;568,967;767,246;624,670;624,670;767,246
CORREDERA;2700;NOGAL;1000;584,973;805,284;646,866;646,866;805,284
CORREDERA;2700;NOGAL;1100;612,118;854,460;680,200;680,200;854,460
CORREDERA;2700;NOGAL;1200;628,124;892,498;702,396;702,396;892,498
CORREDERA;2700;NOGAL;1300;665,491;951,896;745,952;745,952;951,896
CORREDERA;2700;NOGAL;1400;681,498;989,933;768,148;768,148;989,933
CORREDERA;2700;NOGAL;1500;693,859;1.024,326;786,699;786,699;1.024,326
CORREDERA;2500;NOGAL;600;489,445;600,595;520,125;520,125;600,595
CORREDERA;2500;NOGAL;700;503,892;633,567;539,685;539,685;633,567
CORREDERA;2500;NOGAL;800;518,339;666,539;559,246;559,246;666,539
CORREDERA;2500;NOGAL;900;545,139;711,864;591,159;591,159;711,864
CORREDERA;2500;NOGAL;1000;559,586;744,836;610,719;610,719;744,836
CORREDERA;2500;NOGAL;1100;605,205;829,596;668,244;668,244;829,596
CORREDERA;2500;NOGAL;1200;620,665;865,455;689,435;689,435;865,455
CORREDERA;2500;NOGAL;1300;657,485;922,674;731,986;731,986;922,674
CORREDERA;2500;NOGAL;1400;672,945;958,533;753,177;753,177;958,533
CORREDERA;2500;NOGAL;1500;688,405;994,393;774,368;774,368;994,393
FIJO;2700;NEGRO MATE TEXT;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;NEGRO MATE TEXT;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;NEGRO MATE TEXT;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;NEGRO MATE TEXT;500;308,809;339,489;339,489;339,489;339,489
FIJO;2500;NEGRO MATE TEXT;1000;371,164;422,298;422,298;422,298;422,298
FIJO;2500;NEGRO MATE TEXT;1500;464,451;550,414;550,414;550,414;550,414
FIJO;2700;BLANCO MATE;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;BLANCO MATE;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;BLANCO MATE;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;BLANCO MATE;500;334,559;339,489;339,489;339,489;339,489
FIJO;2500;BLANCO MATE;1000;404,545;422,298;422,298;422,298;422,298
FIJO;2500;BLANCO MATE;1500;483,114;550,414;550,414;550,414;550,414
FIJO;2700;CORTEN;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;CORTEN;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;CORTEN;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;CORTEN;500;334,559;339,489;339,489;339,489;339,489
FIJO;2500;CORTEN;1000;404,545;422,298;422,298;422,298;422,298
FIJO;2500;CORTEN;1500;483,114;550,414;550,414;550,414;550,414
FIJO;2700;ROBLE;500;386,015;518,201;423,151;423,151;518,201
FIJO;2700;ROBLE;1000;456,719;677,030;518,612;518,612;677,030
FIJO;2700;ROBLE;1500;535,781;866,248;628,621;628,621;866,248
FIJO;2500;ROBLE;500;359,67;470,820;390,350;390,350;470,820
FIJO;2500;ROBLE;1000;422,737;607,987;473,870;473,870;607,987
FIJO;2500;ROBLE;1500;516,517;822,505;602,480;602,480;822,505
FIJO;2700;NOGAL;500;391,129;523,316;428,265;428,265;523,316
